FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Precious Achiuwa,Raptors,F,22.54,69,23.5,121,0.587,426,0.467,137,0.358,0.484,0.5,8.9,6.7,1.1,0.49,0.55,1.1,6.9,105.7,103.5,77
Steven Adams,Grizzlies,C,28.71,73,26.4,193,0.554,375,0.549,1,0,0.548,0.563,7.1,10,3.3,0.88,0.79,1.49,9.3,125.2,103.7,83
Bam Adebayo,Heat,C-F,24.71,54,32.6,321,0.748,699,0.559,6,0,0.555,0.604,18.9,10.2,3.4,1.43,0.8,2.7,10.7,116,97.7,87
Santi Aldama,Grizzlies,F-C,21.23,30,10.6,24,0.583,68,0.574,41,0.098,0.413,0.435,3.5,2.4,0.5,0.1,0.33,0.37,6.1,99.3,104,70
LaMarcus Aldridge,Nets,C-F,36.71,45,22.8,102,0.873,410,0.58,45,0.311,0.569,0.607,13.5,5.6,0.9,0.31,1.02,0.93,7.2,120.2,109.1,79
Nickeil Alexander-Walker,Pelicans,G,23.59,50,26.3,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,2.8,0.82,0.38,1.7,7.5,96.9,109.8,73
Nickeil Alexander-Walker,Jazz,G,23.59,13,9.9,11,0.909,14,0.357,27,0.259,0.378,0.447,3.2,1.5,1,0.31,0.31,0.62,6.8,93.7,103,73
Grayson Allen,Bucks,G,26.49,65,27.4,70,0.857,177,0.525,386,0.409,0.586,0.606,11.1,3.4,1.5,0.71,0.25,0.66,5.6,121,110.5,76
Jarrett Allen,Cavs,C,23.95,56,32.3,233,0.708,535,0.688,10,0.1,0.678,0.698,16.1,10.7,1.6,0.77,1.34,1.68,8.1,132.7,104.3,86
Jose Alvarado,Pelicans,G,23.98,50,15,45,0.711,163,0.528,101,0.307,0.502,0.523,5.9,1.8,2.7,1.26,0.14,0.7,8.2,114.3,103.6,76
Justin Anderson,Cavs,F-G,28.37,3,15.5,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,2,0.33,0,0.67,6.7,126.3,103.9,72
Justin Anderson,Pacers,F-G,28.37,12,22,15,0.8,33,0.576,52,0.25,0.453,0.486,7.4,3.3,2.1,0.58,0.42,0.5,6.8,108.1,112.5,72
Kyle Anderson,Grizzlies,F-G,28.54,65,21.5,97,0.629,339,0.475,101,0.317,0.475,0.496,7.4,5.4,2.6,1.12,0.63,1.02,8.7,108.3,103,79
Giannis Antetokounmpo,Bucks,F,27.33,64,33,738,0.721,962,0.616,233,0.296,0.583,0.633,30.1,11.6,5.8,1.06,1.41,3.31,15.3,123.8,100.4,97
